date,ticker,sw_posts,tw_posts,sw_comments,tw_comments,sw_likes,tw_likes,sw_impressions,tw_impressions,sw_sent,tw_sent,datetime
2025-02-24 16:00:00,TSLA,27,34,8,136,50,658,101939,572332,0.48856,0.47225,2025-02-24 16:00:00
2025-02-24 15:00:00,TSLA,142,462,42,17324,196,118732,26116,17995776,0.51511,0.51245,2025-02-24 15:00:00
2025-02-24 14:00:00,TSLA,169,492,36,16738,269,156857,114061,29756955,0.54421,0.59917,2025-02-24 14:00:00
2025-02-24 13:00:00,TSLA,133,370,21,5955,178,74838,54586,29572518,0.52054,0.50329,2025-02-24 13:00:00
2025-02-24 12:00:00,TSLA,186,375,40,8452,212,64925,392900,116852588,0.53174,0.5132,2025-02-24 12:00:00
2025-02-24 11:00:00,TSLA,229,399,37,9345,169,46052,222295,96040993,0.52957,0.52256,2025-02-24 11:00:00
2025-02-24 10:00:00,TSLA,89,113,6,670,55,2455,53426,6287688,0.51565,0.53541,2025-02-24 10:00:00
2025-02-24 09:00:00,TSLA,57,60,8,500,40,385,93501,7483282,0.52332,0.61849,2025-02-24 09:00:00
2025-02-24 08:00:00,TSLA,196,675,23,13482,220,204845,478066,327090443,0.51917,0.51266,2025-02-24 08:00:00
2025-02-24 07:00:00,TSLA,105,181,14,434,129,15713,43369,11317765,0.49486,0.56086,2025-02-24 07:00:00
2025-02-24 06:00:00,TSLA,39,57,8,147,56,1688,20300,544596,0.48023,0.46966,2025-02-24 06:00:00
2025-02-24 05:00:00,TSLA,23,32,6,196,63,942,124586,5680442,0.52026,0.54607,2025-02-24 05:00:00
2025-02-24 04:00:00,TSLA,28,90,5,381,45,5253,2684,179070,0.54507,0.54568,2025-02-24 04:00:00
2025-02-24 03:00:00,TSLA,18,55,3,107,32,2200,2195,46213,0.51311,0.50154,2025-02-24 03:00:00
2025-02-24 02:00:00,TSLA,24,66,6,283,37,2739,3008,141572,0.48225,0.46736,2025-02-24 02:00:00
2025-02-24 01:00:00,TSLA,8,16,4,32,8,102,952,19739,0.41838,0.40333,2025-02-24 01:00:00
2025-02-24 00:00:00,TSLA,35,65,18,1293,84,4078,128711,8068239,0.47194,0.52648,2025-02-24 00:00:00
2025-02-23 23:00:00,TSLA,55,68,31,1993,108,2711,16201,161555,0.50684,0.53111,2025-02-23 23:00:00
2025-02-23 22:00:00,TSLA,60,69,21,1107,104,2083,7282,608989,0.52563,0.50667,2025-02-23 22:00:00
2025-02-23 21:00:00,TSLA,73,248,26,5293,144,48670,20349,7574138,0.51174,0.50815,2025-02-23 21:00:00
2025-02-23 20:00:00,TSLA,76,194,29,3543,158,32091,442895,71240355,0.5025,0.48677,2025-02-23 20:00:00
2025-02-23 19:00:00,TSLA,80,195,44,3123,136,26454,16583,1586911,0.514,0.61687,2025-02-23 19:00:00
2025-02-23 18:00:00,TSLA,63,134,30,1844,105,12232,31483,3381725,0.52668,0.50856,2025-02-23 18:00:00
2025-02-23 17:00:00,TSLA,57,92,15,1197,93,5258,71484,4987253,0.5304,0.51397,2025-02-23 17:00:00
2025-02-23 16:00:00,TSLA,54,74,28,1909,86,2949,4214,327542,0.48983,0.5072,2025-02-23 16:00:00
2025-02-23 15:00:00,TSLA,59,67,29,1892,109,2007,10400,934931,0.52083,0.61299,2025-02-23 15:00:00
2025-02-23 14:00:00,TSLA,49,150,22,1735,91,16960,11496,2235494,0.50145,0.49345,2025-02-23 14:00:00
2025-02-23 13:00:00,TSLA,62,169,41,4149,123,23195,115778,5305542,0.51415,0.49665,2025-02-23 13:00:00
2025-02-23 12:00:00,TSLA,67,174,45,2448,114,21156,8137,1796515,0.511,0.60247,2025-02-23 12:00:00
2025-02-23 11:00:00,TSLA,61,114,17,1965,95,8047,544842,36531265,0.50133,0.54974,2025-02-23 11:00:00
